"Index","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"48:5/6","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , five young Australian actors who are shaping up to be Hollywood 's Next Big Things ... She recently wrapped <a>XXXX</a> in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title .","the lead","lead","NN","dobj -> wrapped"
"49:0/2","Both of them stopped seeing each other in 1997 , and <a>XXXX</a> later found out that he had deserted the military and was working for Los Zetas .","his wife","wife","NN","nsubj -> found"
"49:1/2","Both of them stopped seeing each other in 1997 , and his wife later found out that <a>XXXX</a> had deserted the military and was working for Los Zetas .","he","he","PRP","nsubj -> deserted"
"50:0/1","= = <a>XXXX</a> was a medical consultant to the 1995 film Se7en .","Filmography = = Rey","Rey","NNP","nsubj -> consultant"
"51:0/8","<a>XXXX</a> wore uniform number 24 in the NL , but when MLB merged the AL and NL umpiring staffs in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","He","He","PRP","nsubj -> wore"
"51:1/8","He wore <a>XXXX</a> in the NL , but when MLB merged the AL and NL umpiring staffs in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","uniform number 24","number","NN","dobj -> wore"
"51:2/8","He wore uniform number 24 in the NL , but when MLB merged the AL and <a>XXXX</a> in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","NL umpiring staffs","staffs","NNS","dobj -> merged"
"51:3/8","He wore uniform number 24 in the NL , but when <a>XXXX</a> merged the AL and NL umpiring staffs in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","MLB","MLB","NNP","nsubj -> merged"
"51:4/8","He wore uniform number 24 in the NL , but when MLB merged <a>XXXX</a> in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","the AL and NL umpiring staffs","AL","NNP","dobj -> merged"
"51:5/8","He wore uniform number 24 in the NL , but when MLB merged the AL and NL umpiring staffs in 2000 , <a>XXXX</a> was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","Layne","Layne","NNP","nsubjpass -> forced"
"51:6/8","He wore uniform number 24 in the NL , but when MLB merged the AL and NL umpiring staffs in 2000 , Layne was forced to switch to number 26 , <a>XXXX</a> wore 24 in the junior circuit , had more seniority .","as AL umpire Al Clark , who","Clark","NNP","nsubj -> wore"
"51:7/8","He wore uniform number 24 in the NL , but when MLB merged the AL and NL umpiring staffs in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had <a>XXXX</a> .","more seniority","seniority","NN","dobj -> had"
