"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"565","0/1","<a>XXXX</a> pulled off an unassisted double play on the final day of the bass fishing season .","Eden angler Wesley Pullig","Pullig","nsubj -> pulled"
"566","0/1","Today 's topic : <a>XXXX</a> react to the Gulf oil spill .","GOP Gov. Rick Perry and Democratic challenger Bill White","Perry","nsubj -> react"
"567","0/1","Across the Owens River , <a>XXXX</a> ascended a chalk-marked cliff with such strength and skill that his movements appeared effortless .","a climber","climber","nsubj -> ascended"
"569","0/1","`` <a>XXXX</a> ai n't easy standing onstage with your heroes , '' the country star Dierks Bentley said at the Highline Ballroom on Wednesday night .","It","It","nsubj -> easy"
"570","0/1","Still , <a>XXXX</a> had n't dressed up for the occasion .","he","he","nsubj -> dressed"
"571","0/1","His hair was maybe a bit more matted than usual , his 5 o'clock shadow <a>XXXX</a> .","a bit more honest","bit","dobj -> shadow"
"572","0/1","<a>XXXX</a> is an estate in the Russian countryside in the 19th century .","The setting","setting","nsubj -> estate"
"573","0/1","The dramatis personae include landed aristocrats , their bourgeois neighbors , peasants and <a>XXXX</a> .","servants","servants","dobj -> include"
"574","0/1","<a>XXXX</a> concerns the fate of a plot of land and the dissatisfactions of love .","The story","story","nsubj -> concerns"
"575","0/1","Spain successfully sold government bonds Thursday , but at a sharply higher cost , as tremors from the Greek debt crisis sent <a>XXXX</a> plunging across the world and weighed further on the euro .","major indexes","indexes","dobj -> sent"
"576","0/1","Spain successfully sold <a>XXXX</a> Thursday , but at a sharply higher cost , as tremors from the Greek debt crisis sent major indexes plunging across the world and weighed further on the euro .","government bonds","bonds","dobj -> sold"
"577","0/1","If <a>XXXX</a> see Joseph Laubinger on your doorstep , start packing .","you","you","nsubj -> see"
"578","0/1","His courtly presence means <a>XXXX</a> have exhausted all excuses , arguments and options for keeping your house .","you","you","nsubj -> exhausted"
"579","0/1","When the musical librettist Michael Zam first read `` The Kid , '' a 1999 memoir about a gay couple adopting <a>XXXX</a> , he was certain that he wanted to turn it into a musical .","a baby","baby","dobj -> adopting"
"581","0/1","But rather than plunge into adaptation , Zam made it a long-term project , because he felt it would take time -- years , it turned out -- to wrest <a>XXXX</a> out of this particular book .","a successful show","show","dobj -> wrest"
"583","0/1","China 's leaders are so concerned about rising energy use and declining energy efficiency that the cabinet held <a>XXXX</a> this week to discuss the problem , according to a statement on Thursday from the ministry of industry and information technology .","a special meeting","meeting","dobj -> held"
"585","0/1","As stock market stories go , <a>XXXX</a> came with a few special ingredients : two low-key founders who have been turned into multibillionaires overnight ; a stake held by Goldman Sachs ; and pigs ' intestines .","the listing of Shenzhen Hepalink Pharmaceutical in China","listing","nsubj -> came"
"586","0/1","As stock market stories go , <a>XXXX</a> came with a few special ingredients : two low-key founders who have been turned into multibillionaires overnight ; a stake held by Goldman Sachs ; and pigs ' intestines .","the listing of Shenzhen Hepalink Pharmaceutical in China","listing","nsubj -> came"
"587","0/1","Even as <a>XXXX</a> has set ambitious goals for itself in clean-energy production and reduction of global warming gases , the country 's surging demand for power from coal and oil has led to the largest six-month increase in the tonnage of greenhouse gases ever by a single country.China 's leaders are so concerned about rising energy use and declining energy efficiency that the cabinet held a special meeting this week to discuss the problem , according to a statement on Thursday from the ministry of industry and information technology .","China","China","nsubj -> set"
"588","0/1","If you see Joseph Laubinger on your doorstep , start <a>XXXX</a> .","packing","packing","dobj -> start"
"589","0/1","His courtly presence means you have exhausted all excuses , arguments and <a>XXXX</a> for keeping your house .","options","options","dobj -> means"
"590","0/1","Henry M. Paulson Jr. , <a>XXXX</a> led the response of President George W. Bush 's administration to the 2008 financial crisis , on Thursday endorsed calls for greater scrutiny and regulation of capital markets .","the former Treasury secretary who","secretary","nsubj -> led"
"591","0/1","Henry M. Paulson Jr. , the former Treasury secretary who led <a>XXXX</a> to the 2008 financial crisis , on Thursday endorsed calls for greater scrutiny and regulation of capital markets .","the response of President George W. Bush 's administration","response","dobj -> led"
"592","0/1","The crew of a Russian destroyer engaged in a `` robust '' firefight with pirates early Thursday and <a>XXXX</a> had been taken hostage on a Russian oil tanker a day earlier , the European anti-piracy naval force said Thursday .","freed 23 merchant seamen who","seamen","nsubjpass -> taken"
"595","0/1","<a>XXXX</a> threw themselves into a celebration of literature , music and international fellowship .","Distinguished foreign authors and talented local musicians","authors","nsubj -> threw"
"596","0/1","As e-coli contaminated lettuce was traced to an Ohio company Thursday , <a>XXXX</a> heard testimony on two government reports showing that the Food and Drug Administration inspects just one in four U.S. food facilities each year , and a tiny fraction overseas .","a House committee","committee","nsubj -> heard"
"597","0/1","<a>XXXX</a> was red , but too frayed for the tape around its edges to matter much .","The carpet","carpet","nsubj -> red"
"598","0/1","<a>XXXX</a> was lost to the years , a little like the street of shuttered shops , crumbling curbs and relentlessly gray barricades around it .","A letter of the marquee","letter","nsubjpass -> lost"
"599","0/1","<a>XXXX</a> was red , but too frayed for the tape around its edges to matter much .","The carpet","carpet","nsubj -> red"
"600","0/1","<a>XXXX</a> was lost to the years , a little like the street of shuttered shops , crumbling curbs and relentlessly gray barricades around it .","A letter of the marquee","letter","nsubjpass -> lost"
"602","0/1","Thursday night -- <a>XXXX</a> lighted up , the air filled with honeysuckle and jasmine -- felt like such a moment .","the ancient walls","walls","nsubj -> lighted"
"603","0/1","Distinguished foreign authors and <a>XXXX</a> threw themselves into a celebration of literature , music and international fellowship .","talented local musicians","musicians","nsubj -> threw"
"604","0/1","Even before he went to work for President Barack Obama , Bob Bauer was plotting <a>XXXX</a> .","strategy for the next Supreme Court confirmation","strategy","dobj -> plotting"
"605","0/1","Even before <a>XXXX</a> went to work for President Barack Obama , Bob Bauer was plotting strategy for the next Supreme Court confirmation .","he","he","nsubj -> went"
"606","0/1","Jeff Wilson saw a doctor recently about his high cholesterol -- and <a>XXXX</a> came to his appointment .","five other patients with the same problem","patients","nsubj -> came"
"607","0/1","<a>XXXX</a> swore in a new president and buried its old one on Thursday , sealing the transition from its long-ailing leader to his successor and quelling some of the political uncertainty that had loomed for months .","Nigeria","Nigeria","nsubj -> quelling"
"608","0/1","<a>XXXX</a> swore in a new president and buried its old one on Thursday , sealing the transition from its long-ailing leader to his successor and quelling some of the political uncertainty that had loomed for months .","Nigeria","Nigeria","nsubj -> quelling"
"609","0/1","<a>XXXX</a> successfully tested a system Thursday that would allow astronauts to escape during rocket launch emergencies , the first abort system developed in more than 40 years .","NASA","NASA","nsubj -> tested"
"610","0/1","<a>XXXX</a> loves a guessing game , and Supreme Court vacancies are great that way : plenty of names to handicap and horse-race , assumptions to advance and debunk , records to scour and distort .","Washington","Washington","nsubj -> loves"
"611","0/1","The lone surviving gunman from a 2008 terrorist attack on Mumbai that killed <a>XXXX</a> was sentenced Thursday to death by hanging .","more than 160 people","people","dobj -> killed"
"612","0/1","<a>XXXX</a> was spending this Friday afternoon as he does every week , sitting at a computer on the lonely end of a strip mall here inside Jacks Business Center and Internet Cafe .","Rick Massa","Massa","nsubj -> spending"
"613","0/1","<a>XXXX</a> was not checking his e-mail messages or sending a fax .","He","He","nsubj -> checking"
"615","0/1","<a>XXXX</a> was spending this Friday afternoon as he does every week , sitting at a computer on the lonely end of a strip mall here inside Jacks Business Center and Internet Cafe .","Rick Massa","Massa","nsubj -> spending"
"616","0/1","<a>XXXX</a> was not checking his e-mail messages or sending a fax .","He","He","nsubj -> checking"
"617","0/1","For nearly a quarter-century , Harvard Law School refused to help the nation 's military recruit <a>XXXX</a> because the armed services discriminated against openly gay soldiers .","its students","students","dobj -> recruit"
"618","0/1","But in 2002 , the school relented to pressure from the Bush administration and agreed to allow <a>XXXX</a> on campus .","recruiters","recruiters","dobj -> allow"
"619","0/1","Two Treasury secretaries , Henry M. Paulson Jr. , and his successor , Timothy F. Geithner , on Thursday endorsed <a>XXXX</a> .","calls for stricter regulation of financial markets","calls","dobj -> endorsed"
"620","0/1","<a>XXXX</a> was kidnapped here in the capital of the semiautonomous Kurdistan region of Iraq , tortured and then found dead with two bullets in the head on a highway , his family and members of the security forces said on Thursday .","A Kurdish journalist","journalist","nsubjpass -> kidnapped"
"621","0/1","A Kurdish journalist was kidnapped here in the capital of the semiautonomous Kurdistan region of Iraq , tortured and then found dead with two bullets in the head on a highway , his family and <a>XXXX</a> of the security forces said on Thursday .","members","members","nsubj -> said"
"627","0/1","As a crew began lowering a giant steel container 5,000 feet below the ocean 's surface on Thursday evening to capture oil leaking from a ruptured oil well , <a>XXXX</a> said he was not actually counting on it to work .","the top executive of BP","executive","nsubj -> said"
"628","0/1","The European Central Bank disappointed investors hoping for decisive action on Thursday to contain <a>XXXX</a> , pushing the euro to another low for the year .","the euro zone 's increasingly virulent debt crisis","crisis","dobj -> contain"
"630","0/1","The Greek Parliament passed a package of tough austerity measures on Thursday , trying to stave off <a>XXXX</a> and help prevent debt contagion from spreading .","economic collapse","collapse","dobj -> stave"
"631","0/1","After one of the most passionately contested elections in decades , <a>XXXX</a> went to the polls on Thursday and appeared to have swung sharply , though not necessarily decisively , against the ruling Labour Party .","voters in Britain","voters","nsubj -> went"
"632","0/1","After one of the most passionately contested elections in decades , <a>XXXX</a> went to the polls on Thursday and appeared to have swung sharply , though not necessarily decisively , against the ruling Labour Party .","voters in Britain","voters","nsubj -> appeared"
"633","0/1","Unsure what to do as <a>XXXX</a> continued to creep toward the Louisiana coast , the percussionist Shannon Powell left his shotgun house in Treme this week and lighted five candles at the St. Louis Cathedral on Jackson Square .","oil","oil","nsubj -> creep"
"634","0/1","<a>XXXX</a> said prayers for New Orleans , then played his usual nighttime jazz gig at Preservation Hall in the French Quarter .","He","He","nsubj -> said"
"635","0/1","The European Central Bank disappointed <a>XXXX</a> hoping for decisive action on Thursday to contain the euro zone 's increasingly virulent debt crisis , pushing the euro to another low for the year .","investors","investors","nsubj -> hoping"
"636","0/1","Unsure what to do as oil continued to creep toward the Louisiana coast , <a>XXXX</a> left his shotgun house in Treme this week and lighted five candles at the St. Louis Cathedral on Jackson Square .","the percussionist Shannon Powell","Powell","nsubj -> left"
"637","0/1","<a>XXXX</a> said prayers for New Orleans , then played his usual nighttime jazz gig at Preservation Hall in the French Quarter .","He","He","nsubj -> said"
"638","0/1","Take it from Aaron Rowand of the San Francisco Giants , who plays <a>XXXX</a> behind the most captivating pitcher in baseball .","center field","field","dobj -> plays"
"640","0/1","<a>XXXX</a> passed a package of tough austerity measures on Thursday , trying to stave off economic collapse and help prevent debt contagion from spreading .","The Greek Parliament","Parliament","nsubj -> passed"
"641","0/1","With each violent attack on the rim , each surprisingly sturdy defensive stand and each Phoenix Suns playoff victory , <a>XXXX</a> is rising .","Amar ' e Stoudemire 's stature","stature","nsubj -> rising"
"642","0/1","<a>XXXX</a> has worked for the U.S. Postal Service for almost 23 years .","Nancy Gill","Gill","nsubj -> worked"
"643","0/1","But because she is married to a woman , <a>XXXX</a> can not provide the same health benefits to her spouse that her co-workers at the post office can provide for their families .","she","she","nsubj -> provide"
"644","0/1","<a>XXXX</a> moved close to approving a proposal to require a one-time audit of the Federal Reserve 's response to the financial crisis , and to force the central bank to disclose the recipients of more than $ 2 trillion in aid , including the bailouts of big banks .","The Senate on Thursday","Senate","nsubj -> moved"
"645","0/1","The Pakistan Taliban , which <a>XXXX</a> suspect were behind the attempt to bomb Times Square , have in recent years combined forces with al-Qaida and other groups , threatening to extend their reach and ambitions , Western diplomats , intelligence officials and experts say .","American investigators","investigators","nsubj -> suspect"
"647","0/1","<a>XXXX</a> is to take the Yankees for who they are .","The operating philosophy of the Boston Red Sox","philosophy","nsubj -> is"
"648","0/1","That is , <a>XXXX</a> assume and accept that in every season , the Yankees will win at least 95 games .","they","they","nsubj -> assume"
"649","0/1","In 10 of the last 13 seasons , <a>XXXX</a> have done that .","the Yankees","Yankees","nsubj -> done"
"650","0/1","Despite a few injuries , <a>XXXX</a> seem likely to do so again .","they","they","nsubj -> seem"
"652","0/1","But underscoring the serious doubts surrounding the constitutionality of the law used to convict him , <a>XXXX</a> was allowed to remain free until the Supreme Court rules on the statute .","Bruno","Bruno","nsubjpass -> allowed"
"653","0/1","<a>XXXX</a> outlined a plan on Thursday that would allow the agency to control the transmission component of high-speed Internet , but not rates or content .","The chairman of the Federal Communications Commission","chairman","nsubj -> outlined"
"655","0/1","But underscoring the serious doubts surrounding <a>XXXX</a> , Bruno was allowed to remain free until the Supreme Court rules on the statute .","the constitutionality of the law used to convict him","constitutionality","dobj -> surrounding"
"656","0/1","Several justices have questioned <a>XXXX</a> , and the court could strike it down as early as this month , raising the possibility that one of the most significant and time-consuming political corruption cases in recent New York history will end in no jail time .","the validity of the law","validity","dobj -> questioned"
"657","0/1","<a>XXXX</a> was sentenced Thursday to four years in prison for selling counterfeit computer parts to the Marine Corps for use in Iraq and Afghanistan .","A Saudi man","man","nsubjpass -> sentenced"
"658","0/1","Proposed legislation that would allow <a>XXXX</a> to revoke American citizenship from people suspected of allying themselves with terrorists set off a legal and political debate Thursday that scrambled some of the usual partisan lines on civil-liberties issues .","the government","government","dobj -> allow"
"659","0/1","The chairman of the Federal Communications Commission outlined a plan on Thursday that would allow the agency to control <a>XXXX</a> , but not rates or content .","the transmission component of high-speed Internet","component","dobj -> control"
"660","0/1","A Saudi man was sentenced Thursday to four years in prison for selling <a>XXXX</a> to the Marine Corps for use in Iraq and Afghanistan .","counterfeit computer parts","parts","dobj -> selling"
"661","0/1","<a>XXXX</a> is preparing to revive a civilian nuclear cooperation agreement with Moscow that his predecessor shelved two years ago in protest of Russia 's war with Georgia , an American ally , administration officials said Thursday .","President Barack Obama","Obama","nsubj -> revive"
"662","0/1","The evidence of ties between the man accused of being the Times Square bomber and Pakistani militants has intensified debate inside the Obama administration about expanding America 's military presence in Pakistan , with some officials making <a>XXXX</a> to increase the number of special operations troops working with Pakistani forces in the country 's western mountains .","the case","case","dobj -> making"
"663","0/1","President Barack Obama is preparing to revive a civilian nuclear cooperation agreement with Moscow that <a>XXXX</a> shelved two years ago in protest of Russia 's war with Georgia , an American ally , administration officials said Thursday .","his predecessor","predecessor","nsubj -> shelved"
"664","0/1","The evidence of ties between the man accused of being the Times Square bomber and Pakistani militants has intensified debate inside the Obama administration about expanding America 's military presence in Pakistan , with some officials making <a>XXXX</a> to increase the number of special operations troops working with Pakistani forces in the country 's western mountains .","the case","case","dobj -> making"
"665","0/1","French naval investigators using new , state-of-the-art software , believe <a>XXXX</a> have narrowed down the location of at least one of the `` black box '' flight recorders of an Air France jet that crashed almost a year ago in the mid-Atlantic , French officials said Thursday .","they","they","nsubj -> narrowed"
"669","0/1","The Conservatives warned that <a>XXXX</a> could lead to disaster .","it","it","nsubj -> lead"
"670","0/1","And the Labour Party potentially could use <a>XXXX</a> to cling to power for a little while longer .","it","it","nsubj -> cling"
"671","0/1","The Conservatives warned that <a>XXXX</a> could lead to disaster .","it","it","nsubj -> lead"
"672","0/1","And the Labour Party potentially could use <a>XXXX</a> to cling to power for a little while longer .","it","it","dobj -> use"
"673","0/1","After two successive days of restrictions , the British and Irish authorities reopened <a>XXXX</a> to all flights on Thursday as a plume of ash from a volcano in Iceland drifted over the northern Atlantic overnight .","their airspace","airspace","dobj -> reopened"
"674","0/1","No other region suffered more grievous economic damage from the financial crisis last year than Eastern Europe , and <a>XXXX</a> was extensive borrowing in euros and other foreign currencies .","a main cause","cause","nsubj -> borrowing"
"676","0/1","<a>XXXX</a> suffered more grievous economic damage from the financial crisis last year than Eastern Europe , and a main cause was extensive borrowing in euros and other foreign currencies .","No other region","region","nsubj -> suffered"
"677","0/1","The Pakistani-American man accused of trying to detonate a car bomb in Times Square has told <a>XXXX</a> that he drew inspiration from Anwar al-Awlaki , a Yemeni-American cleric whose militant online lectures have been a catalyst for several recent attacks and plots , an American official said Thursday .","investigators","investigators","dobj -> told"
"678","0/1","For nearly a quarter-century , Harvard Law School refused to help the nation 's military recruit <a>XXXX</a> because the armed services discriminated against openly gay soldiers .","its students","students","dobj -> recruit"
"679","0/1","But in 2002 , <a>XXXX</a> relented to pressure from the Bush administration and agreed to allow recruiters on campus .","the school","school","nsubj -> allow"
"680","0/1","<a>XXXX</a> , in his latest effort to signal fiscal responsibility against the rising debt , plans this month to ask Congress to give him and future presidents greater power to try to delete individual items from spending bills .","President Barack Obama","Obama","nsubj -> plans"
"681","0/1","The Pakistani-American man accused of trying to detonate <a>XXXX</a> in Times Square has told investigators that he drew inspiration from Anwar al-Awlaki , a Yemeni-American cleric whose militant online lectures have been a catalyst for several recent attacks and plots , an American official said Thursday .","a car bomb","bomb","dobj -> detonate"
"682","0/1","<a>XXXX</a> is to take the Yankees for who they are .","The operating philosophy of the Boston Red Sox","philosophy","nsubj -> is"
"683","0/1","That is , <a>XXXX</a> assume and accept that in every season , the Yankees will win at least 95 games .","they","they","nsubj -> accept"
"684","0/1","In 10 of the last 13 seasons , <a>XXXX</a> have done that .","the Yankees","Yankees","nsubj -> done"
"685","0/1","Despite a few injuries , <a>XXXX</a> seem likely to do so again .","they","they","nsubj -> seem"
"686","0/1","<a>XXXX</a> was sentenced Thursday to four years in prison for selling counterfeit computer parts to the Marine Corps for use in Iraq and Afghanistan .","A Saudi man","man","nsubjpass -> sentenced"
"687","0/1","<a>XXXX</a> swore in a new president and buried its old one on Thursday , sealing the transition from its long-ailing leader to his successor and quelling some of the political uncertainty that had loomed for months .","Nigeria","Nigeria","nsubj -> swore"
"688","0/1","<a>XXXX</a> swore in a new president and buried its old one on Thursday , sealing the transition from its long-ailing leader to his successor and quelling some of the political uncertainty that had loomed for months .","Nigeria","Nigeria","nsubj -> quelling"
"689","0/1","As a crew prepared to lower a giant steel container 5,000 feet below the ocean 's surface on Thursday evening to capture oil leaking from a ruptured oil well , the top executive of BP said <a>XXXX</a> was not actually counting on it to work .","he","he","nsubj -> counting"
"691","0/1","The evidence of ties between the man accused of being the Times Square bomber and Pakistani militants has intensified debate inside the Obama administration about expanding America 's military presence in Pakistan , with some officials making <a>XXXX</a> to increase the number of special operations troops working with Pakistani forces in the country 's western mountains .","the case","case","dobj -> making"
"692","0/1","After one of the most passionately contested elections in decades , <a>XXXX</a> went to the polls on Thursday and appeared to have swung sharply , though not necessarily decisively , against the ruling Labour Party .","voters in Britain","voters","nsubj -> swung"
"693","0/1","A nurse and her supervisor at Olive View-UCLA Medical Center in Sylmar have been placed on paid leave as county officials investigate allegations that they ran <a>XXXX</a> out of the unit that cares for high-risk newborns .","a beauty salon","salon","dobj -> ran"
"694","0/1","` Iron Man 2 '' offers <a>XXXX</a> flying around and zapping each other in metal suits that you could ever want to see .","all the guys","guys","nsubj -> flying"
"695","0/1","After one of the most passionately contested elections in decades , <a>XXXX</a> was headed toward big , though not necessarily decisive , gains in Britain early on Friday .","the Conservative Party","Party","nsubjpass -> headed"
"696","0/1","After one of the most passionately contested elections in decades , <a>XXXX</a> was headed toward big , though not necessarily decisive , gains in Britain early on Friday .","the Conservative Party","Party","nsubjpass -> headed"
"697","0/1","The Senate on Thursday rejected an effort by liberal Democrats to break up some of the biggest banks , defeating an amendment to financial regulatory legislation that would have imposed <a>XXXX</a> .","new limits on the size and scope of financial companies","limits","dobj -> imposed"
"698","0/1","WASHINGTON -- The Senate on Thursday rejected an effort by liberal Democrats to break up some of the biggest banks , defeating an amendment to financial regulatory legislation that would have imposed <a>XXXX</a> .","new limits on the size and scope of financial companies","limits","dobj -> imposed"
"699","0/1","After one of the most passionately contested elections in decades , Britain faced <a>XXXX</a> on Friday and possibly days of wrangling to form a new government despite significant gains by the opposition Conservatives and damaging losses for Prime Minister Gordon Brown .","electoral stalemate","stalemate","dobj -> faced"
"700","0/1","After one of the most passionately contested elections in decades , Britain faced <a>XXXX</a> on Friday and possibly days of wrangling to form a new government despite significant gains by the opposition Conservatives and damaging losses for Prime Minister Gordon Brown .","electoral stalemate","stalemate","dobj -> faced"
"701","0/1","After one of the most passionately contested elections in decades , Britain faced the stalemate of a hung Parliament on Friday , with no party likely to command <a>XXXX</a> despite significant gains by the opposition Conservatives and damaging losses for Prime Minister Gordon Brown .","an outright majority","majority","dobj -> command"
"702","0/1","After one of the most passionately contested elections in decades , Britain faced <a>XXXX</a> on Friday , with no party likely to command an outright majority despite significant gains by the opposition Conservatives and damaging losses for Prime Minister Gordon Brown .","the stalemate of a hung Parliament","stalemate","dobj -> faced"
"704","0/1","<a>XXXX</a> is a bad road trip away from trouble .","Fredi Gonzalez","Gonzalez","nsubj -> trip"
"705","0/1","Beverage industry insiders are prone to hyperbole when <a>XXXX</a> describe the search for a natural , low-calorie sweetener that tastes as good as sugar .","they","they","nsubj -> describe"
"706","0/1","It 's been called `` <a>XXXX</a> , '' the search for `` the Holy Grail . ''","the great race","race","dobj -> called"
"708","0/1","Even without their top Republican partner -- and with an oil spill in the Gulf of Mexico darkening prospects for success -- the chief architects of a climate change and energy bill plan to unveil <a>XXXX</a> on Wednesday .","their measure","measure","dobj -> unveil"
"709","0/1","Rico Rodriguez calls <a>XXXX</a> an amazing experience .","the past year","year","nsubj -> experience"
"710","0/1","The oil now lapping barrier islands near Louisiana threatens wildlife , wetlands and businesses all along the Gulf Coast , but its reach also extends <a>XXXX</a> to the nation 's capital , where it is causing political discomfort -- and downright embarrassment -- for some lawmakers and administration officials .","hundreds of miles","hundreds","dobj -> extends"
"711","0/1","Despite the recent oil rig explosion and massive spill in the Gulf of Mexico , a new public opinion poll shows that a majority of Americans still supports offshore drilling for oil and gas , though <a>XXXX</a> has declined .","that support","support","nsubj -> declined"
"712","0/1","India 's Supreme Court on Friday settled a dispute between two billionaire brothers that had been as closely watched as a Bollywood melodrama , with an outcome that has potentially broad implications for this country 's struggling <a>XXXX</a> .","energy industry","industry","dobj -> struggling"
"713","0/1","<a>XXXX</a> settled a dispute between two billionaire brothers that had been as closely watched as a Bollywood melodrama , with an outcome that has potentially broad implications for this country 's struggling energy industry .","India 's Supreme Court on Friday","Court","nsubj -> settled"
"714","0/1","As President Barack Obama prepares to nominate somebody to succeed <a>XXXX</a> appears to be on a collision course with the Supreme Court in legal disputes that will test the limits of executive power .","Justice John Paul Stevens , his administration","Stevens","nsubj -> appears"
"715","0/1","As <a>XXXX</a> prepares to nominate somebody to succeed Justice John Paul Stevens , his administration appears to be on a collision course with the Supreme Court in legal disputes that will test the limits of executive power .","President Barack Obama","Obama","nsubj -> nominate"
"716","0/1","A dolphin pool , a penguin park and <a>XXXX</a> could soon join the imperial-era townhouses and ancient Buddhist temples in Kyoto , Japan 's former imperial capital .","a giant wave pool","pool","appos -> pool"
"717","0/1","A federal task force is investigating whether <a>XXXX</a> helped Faisal Shahzad in financing , planning and carrying out his May 1 attempt to detonate a sports utility vehicle loaded with explosives on a crowded Times Square corner .","any individuals in Connecticut","individuals","nsubj -> helped"
"718","0/1","<a>XXXX</a> was one of hundreds of performers who feared for their instruments this week after the Cumberland River overflowed .","The country music star Brad Paisley","Paisley","nsubj -> one"
"719","0/1","The water covered large areas of Nashville , flooding the Grand Ole Opry stage with two feet of it , causing <a>XXXX</a> and forcing electricity to be cut in a tourist neighborhood of downtown .","heavy damage to the symphony hall","damage","dobj -> causing"
"720","0/1","Thousands of Burmese pythons , <a>XXXX</a> , have invaded the Everglades , eating birds , bunnies , even alligators .","the offspring of former pets","offspring","appos -> Thousands"
"721","0/1","It has gotten so bad that Congress is considering an outright ban on buying or selling <a>XXXX</a> .","nine kinds of giant snakes","kinds","dobj -> selling"
"722","0/1","<a>XXXX</a> was one of hundreds of performers who feared for their instruments this week after the Cumberland River overflowed .","The country music star Brad Paisley","Paisley","nsubj -> one"
"723","0/1","The water covered <a>XXXX</a> , flooding the Grand Ole Opry stage with two feet of it , causing heavy damage to the symphony hall and forcing electricity to be cut in a tourist neighborhood of downtown .","large areas of Nashville","areas","dobj -> covered"
"724","0/1","Thousands of Burmese pythons , the offspring of former pets , have invaded the Everglades , eating birds , bunnies , <a>XXXX</a> .","even alligators","alligators","dobj -> eating"
"725","0/1","<a>XXXX</a> has gotten so bad that Congress is considering a ban on buying or selling nine kinds of giant snakes .","It","It","nsubj -> gotten"
"727","0/1","Two top Colorado mountain bike racers face <a>XXXX</a> after allegedly cheating in the Leadville Trail 100 Mountain Bike Race last year .","felony criminal impersonation charges","charges","dobj -> face"
"728","0/1","An ambitious plan to drill for oil off the northwest coast of Alaska has been moving ahead despite the spill in the Gulf of Mexico , but the project is now facing <a>XXXX</a> .","new questions from federal regulators","questions","dobj -> facing"
"729","0/1","Federal regulators warned offshore rig operators more than a decade ago that <a>XXXX</a> needed to install backup systems to control the giant undersea valves known as blowout preventers , used to cut off the flow of oil from a well in an emergency .","they","they","nsubj -> install"
"731","0/1","Once one of the most powerful figures in Indonesia 's 400,000-strong national police force , Gen. Susno Duadji now keeps close to home , attended to by family and a coterie of supporters , <a>XXXX</a> .","not least a food taster","taster","appos -> coterie"
"732","0/1","Federal regulators warned offshore rig operators more than a decade ago that <a>XXXX</a> needed to install backup systems to control the giant undersea valves known as blowout preventers , used to cut off the flow of oil from a well in an emergency .","they","they","nsubj -> needed"
"734","0/1","Once one of the most powerful figures in Indonesia 's 400,000-strong national police force , <a>XXXX</a> now keeps close to home , attended to by family and a coterie of supporters , not least a food taster .","Gen. Susno Duadji","Duadji","nsubj -> keeps"
"735","0/1","At a mall food court here , where she was sitting with reporters covering <a>XXXX</a> , Imelda Marcos inserted iPod earbuds on either side of her bouffant coiffure .","her campaign for the House of Representatives","campaign","dobj -> covering"
"736","0/1","A German bishop who offered his resignation after admitting that <a>XXXX</a> had physically abused children as a priest is now under investigation for sexual abuse , yet another shock to the Roman Catholic Church in Germany , which is reeling from a growing child-molestation scandal .","he","he","nsubj -> had"
"737","0/1","While Gov. David A. Paterson met inside his office with aides to prepare for a recent news conference , his lieutenant governor , <a>XXXX</a> , was milling around outside , waiting for the press appearance to begin .","Richard Ravitch","Ravitch","appos -> governor"
"738","0/1","While Gov. David A. Paterson met inside his office with aides to prepare for a recent news conference , <a>XXXX</a> was milling around outside , waiting for the press appearance to begin .","his lieutenant governor , Richard Ravitch ,","governor","nsubj -> milling"
"739","0/1","The Obama administration , under intense political pressure from Capitol Hill and elsewhere , is engaged in a vigorous debate over whether to reverse course and join an international treaty banning land mines , <a>XXXX</a> said this week .","administration officials","officials","nsubj -> said"
"740","0/1","The Obama administration , under intense political pressure from Capitol Hill and elsewhere , is engaged in a vigorous debate over whether to reverse course and join <a>XXXX</a> , administration officials said this week .","an international treaty banning land mines","treaty","dobj -> join"
"741","0/1","As <a>XXXX</a> prepare to celebrate the 65th anniversary of the defeat of Nazi Germany this weekend , an event hallowed here as the unalloyed triumph of good over evil , a major question still looms : What should be done about Stalin ?","Russians","Russians","nsubj -> celebrate"
"742","0/1","<a>XXXX</a> ended their general strike on Friday , after crippling the nation for six days , but failed to achieve their goal of pressuring the prime minister and his coalition government to step down .","Nepal 's Maoists","Maoists","nsubj -> achieve"
"743","0/1","Nearly 50 miles offshore at the big oil rig floating on a glassy-calm sea , <a>XXXX</a> landed early on the morning of April 20 , carrying executives from BP , the oil company .","a helicopter","helicopter","nsubj -> landed"
"744","0/1","The four men were visiting the Deepwater Horizon to help honor <a>XXXX</a> .","the crew for its standout safety record","crew","dobj -> honor"
"745","0/1","When government regulators here shut down Integrity Bank at the height of the recession , in August of 2008 , the bank was seen as just another failed lender that had overvalued <a>XXXX</a> and collapsed .","the real estate market","market","dobj -> overvalued"
"746","0/1","When <a>XXXX</a> here shut down Integrity Bank at the height of the recession , in August of 2008 , the bank was seen as just another failed lender that had overvalued the real estate market and collapsed .","government regulators","regulators","nsubj -> shut"
"747","0/1","Analysts and <a>XXXX</a> have begun to focus on the risks to European banks if severe budget cuts by debt-ridden countries freeze credit markets and cause a double-dip recession .","investors","investors","nsubj -> begun"
