"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"170","0/1","During the 2005 season , <a>XXXX</a> managed 2 victories and 8 top-ten finishes on his way to the GS series title with co-driver Scott Maxwell driving for Multimatic Motorsports .","he","he","PRP","nsubj -> managed"
"171","0/1","He scored <a>XXXX</a> in the 1995 Norwegian Premier League ; only five players had more goals .","13 goals","goals","NNS","dobj -> scored"
"172","0/1","When in 2004 <a>XXXX</a> appeared that the constitutional amendment would not receive the requisite 2/3 support to pass the Senate , Kyl and Feinstein authored the Crime Victims ' Rights Act , which listed a victims ' bill of rights and provided mandamus relief in appellate court for any victim denied those rights .","it","it","PRP","nsubj -> appeared"
"173","0/1","In 1860 , he won <a>XXXX</a> and was second in the 100 yards .","the school wide jump competition","competition","NN","dobj -> won"
"175","0/1","After two adjournments for illness <a>XXXX</a> finally appeared for examination on 9 December 1930 .","Rees","Rees","NNP","nsubj -> appeared"
"176","0/1","In 1982 -- 83 , having retired from the national team after the unsuccessful home World Cup campaign , <a>XXXX</a> joined Barcelona , being relatively used in two of his three seasons .","Alonso","Alonso","NNP","nsubj -> joined"
"178","0/1","<a>XXXX</a> is an Australian singer , best known for winning the fifth season of Australia 's Got Talent .","Jack Vidgen -LRB- born 17 January 1997 -RRB-","Vidgen","NNP","nsubj -> singer"
"179","0/1","In 2009 , Showers co-chaired Two X Two with her daughter , Elizabeth Showers , <a>XXXX</a> .","a gala benefitting AmfAR and the Dallas Museum of Art","AmfAR","NN","appos -> daughter"
"180","0/1","In 2012-13 season , <a>XXXX</a> was then chosen to be the Falkirk penalty taker scoring penalties in the 2 -- 1 defeat to Livingston on 2 September 2012 , in the 1 -- 1 draw with Airdrie United on 22 September 2012 and in the 2 -- 0 victory over Cowdenbeath on 15 December 2012 .","Murdoch","Murdoch","NNP","nsubj -> taker"
"181","0/1","<a>XXXX</a> was named Toronto Humanist of the Year 2004 by The Humanist Association of Toronto .","June Callwood","Callwood","NNP","nsubjpass -> named"
"182","0/1","On October 16 , 1933 , <a>XXXX</a> met with Reed and together they created the Commodity Credit Corporation -LRB- CCC -RRB- .","Jones","Jones","NNP","nsubj -> met"
"183","0/1","In 1997 , <a>XXXX</a> went to Ottawa to work for the Reform Party , becoming a parliamentary aide to party leader Preston Manning and being put in charge of Question Period strategy .","he","he","PRP","nsubj -> went"
"184","0/1","In November 2006 , Trump Jr. and his wife revealed to People Magazine that <a>XXXX</a> was pregnant with the couple 's first child .","she","she","PRP","nsubj -> pregnant"
"185","0/1","<a>XXXX</a> was a good poultryman and considered himself a farmer for the remainder of his life , although in 1916 he moved to Manchester , New Hampshire , to resume a career as a bond salesman .","He","He","PRP","nsubj -> poultryman"
"186","0/1","Clarke has covered the Capital London 's Capital Breakfast whilst <a>XXXX</a> was absent in July 2009 .","Johnny Vaughan","Vaughan","NNP","nsubj -> absent"
"187","0/1","<a>XXXX</a> participated in the 2005 McDonald 's All-American game and won the team ball competition .","She","She","PRP","nsubj -> won"
"188","0/1","<a>XXXX</a> were selected for nine volumes of the annual Borestone Mountain Poetry Awards , One common selection is her poem '' Cicada '' , originally published in 1957 in The New Yorker .","Stoutenburg 's poems","poems","NNS","nsubjpass -> selected"
"189","0/1","In accordance with the divorce agreement , Tigy continued to live in close proximity to Simenon and their son Marc , <a>XXXX</a> continued until they all returned to Europe in 1955 .","an arrangement that","arrangement","NN","nsubj -> continued"
"190","0/1","Lord Merthyr married Violet Meyrick , third daughter of Brigadier-General Sir Frederick Charlton Meyrick , <a>XXXX</a> , in 1932 .","2nd Baronet","Baronet","NN","appos -> Meyrick"
"191","0/1","Also in 1950 , Branch Rickey 's contract as Dodger president expired , and Walter O'Malley decided that were Rickey to retain the job , almost all of Rickey 's power would be gone ; for example , he would no longer take <a>XXXX</a> ; Rickey declined a new contract as President .","a percentage of every franchise sale","percentage","NN","dobj -> take"
"192","0/1","On 4 February 2007 , during league game against Tottenham Hotspur , O'Shea deputised for Edwin van der Sar in goal after van der Sar was taken off <a>XXXX</a> for a broken nose , while Manchester United had already used all three substitutes .","the pitch","pitch","NN","dobj -> taken"
"193","0/1","<a>XXXX</a> started 20 games over the course of his four years and was voted a team captain by his teammates prior to his senior season in 2008 .","He","He","PRP","nsubj -> started"
"194","0/1","<a>XXXX</a> attended grammar school in Ilminster and Crewkerne and in 1881 he entered the University of St Andrews .","He","He","PRP","nsubj -> attended"
"195","0/1","In 1992 , <a>XXXX</a> was president of the Association for Tropical Biology and Conservation .","he","he","PRP","nsubj -> president"
"196","0/1","Digby Bell and her mother , <a>XXXX</a> , both passed away in 1917 .","Maria Maskell","Maskell","NNP","appos -> Bell"
"197","0/1","In June 2011 , Day participated at Congressional for the 2011 U. S. Open , <a>XXXX</a> .","his maiden appearance in a U. S Open","appearance","NN","dobj -> participated"
"199","0/1","<a>XXXX</a> became a full-time PGA Tour member after his finish at the 1993 qualifying school .","Pride","Pride","NN","nsubj -> became"
"200","0/1","Senior year , <a>XXXX</a> was named captain and led his team to the 2006 NCAA National Final .","McClung","McClung","NNP","nsubjpass -> named"
"201","0/1","In 2012 , <a>XXXX</a> was invited by IRCAM in Paris to lead a project on the relationship between improvised dance and electronic musical composition in the context of the festival-academy ManiFeste .","he","he","PRP","nsubjpass -> invited"
"202","0/1","His youth , <a>XXXX</a> and charisma enabled him to take the lead on social justice issues , particularly those involving Mori - Pakeha relations , overseas aid and sporting contacts with South Africa -LRB- which he visited , to see for himself the consequences of Apartheid -RRB- Both he and his friend , Bishop Pyatt were outspoken critics of the 1981 Springbok Rugby Tour .","energy","energy","NN","nsubj -> enabled"
"203","0/1","In the same season , <a>XXXX</a> played in the 1992 FA Cup Final at Wembley against Liverpool .","he","he","PRP","nsubj -> played"
"204","0/1","<a>XXXX</a> had his contract extended until the end of the 2012 -- 13 season in April 2012 .","Walton","Walton","NNP","nsubj -> had"
"205","0/1","Paul Mahern -LRB- born September 11 , <a>XXXX</a> , Indiana -RRB- is an American rock and pop record producer , mixing and mastering engineer , singer , songwriter , professor , and yoga teacher .","1963 Indianapolis","Indianapolis","NNP","appos -> September"
"206","0/1","Of particular importance during this period was his encounter with Charles Fourier , who in 1829 came to Gauthier as a customer seeking to publish his work <a>XXXX</a> et Socitaire .","Le Nouveau Monde Industriel","Industriel","NNP","nsubj -> Socitaire"
"208","0/1","In 1956 , <a>XXXX</a> received his Bachelor of Arts degree in English from Fordham College of Fordham University in the Bronx , where he was a student staff member of its FM radio station , WFUV .","he","he","PRP","nsubj -> received"
"209","0/1","and fought fiercely against secularization of church-run primary and secondary school s. <a>XXXX</a> has been on the agenda of the Hungarian Catholic church ever since communism fell in 1989 , and the pontificate of Pope Benedict XVI was seen by many analysts as an excellent opportunity , as the Pope was equally traditional in his views on church and secular matters and has commented favourably on Mindszenty 's calling .","His beatification and eventual canonization","beatification","NN","nsubj -> agenda"
"210","0/1","<a>XXXX</a> was initially submitted to the University of Queensland Press in 1993 and was said to be based upon recorded interviews with her own relatives , among others her uncle '' Vitaly Demidenko '' .","The novel","novel","NN","nsubjpass -> said"
"211","0/1","In 2003 <a>XXXX</a> was sponsored by Channel Four to attend Milan 's European Beard & Moustache Championships as part of the British team .","he","he","PRP","nsubjpass -> sponsored"
"212","0/1","<a>XXXX</a> was elected once more to serve on the City Council , beginning in 1950 , but died in office .","Jeffries","Jeffries","NNP","nsubjpass -> died"
"213","0/1","After having <a>XXXX</a> too , he finally signed a contract with Helmond Sport in October 2010 until the end of the season .","a disappointing trial with RC Genk","trial","NN","dobj -> having"
"214","0/1","Goenka joined the Bombay Co. Ltd. as chief salesman , a post <a>XXXX</a> held till the end of 1936 .","he","he","PRP","nsubj -> held"
"215","0/1","<a>XXXX</a> retired from the hardware business in 1866 .","Ridout","Ridout","NNP","nsubj -> retired"
"216","0/1","In 1957 , after returning to Ljubljana , he obtained <a>XXXX</a> .","his PhD","PhD","NN","dobj -> obtained"
"217","0/1","After nearly ten years of test flying at Edwards AFB , he went to Southeast Asia in 1968 where he completed <a>XXXX</a> .","a total of 253 combat sorties in the F-100","total","NN","dobj -> completed"
"218","0/1","The two nations joined forces again at the beginning of the Second Congo War , but relations soured in late 1998 as Museveni and Kagame had <a>XXXX</a> in fighting the war .","very different priorities","priorities","NNS","dobj -> had"
"219","0/1","In February 2006 , he received <a>XXXX</a> , -LRB- now Birmingham City University -RRB- .","an honorary degree from the University of Central England","degree","NN","dobj -> received"
"220","0/1","<a>XXXX</a> also finished first among 1,778 candidates in Canada 's 1974 certified management accountancy examination .","He","He","PRP","nsubj -> finished"
"221","0/1","Performing with the band , <a>XXXX</a> appeared on the poster for the 1968 Berkeley Folk Music Festival .","her photograph","photograph","NN","nsubj -> appeared"
"222","0/1","Kendall Hunter was activated off the physically unable to perform <a>XXXX</a> on August 10th 2013 , nearly 81/2 months after he partially tore his left Achilles .","list","list","NN","dobj -> perform"
"223","0/1","In 1919 , he was part of the Japanese diplomatic delegation to the Paris Peace Conference , where <a>XXXX</a> proved to be useful .","this knowledge","knowledge","NN","nsubj -> proved"
"224","0/1","While stopping by Los Angeles , Novak and <a>XXXX</a> stood in line to be extras in The French Line -LRB- 1954 -RRB- , a film starring Jane Russell .","two other models","models","NNS","nsubj -> extras"
"225","0/1","As of June 2010 , along with Gennady Onishchenko , <a>XXXX</a> holds 90-91 places in the top hundred leading politicians of Russia , according to Nezavisimaya Gazeta .","he","he","PRP","nsubj -> holds"
"226","0/1","With his single Space Shuttle mission in late 2002 , <a>XXXX</a> became the first enrolled member of a Native American tribe to fly in space .","Herrington","Herrington","NNP","nsubj -> became"
"227","0/1","In the split of 1970 , Grogan supported <a>XXXX</a> , remaining on Sinn Fin 's Ard Chomhairle .","the provisional wing","wing","NN","dobj -> supported"
"228","0/1","<a>XXXX</a> was named one of the '' Time '' 100 influential people of 2006 .","He","He","PRP","nsubjpass -> named"
"229","0/1","<a>XXXX</a> spent 1919 as captain and the following two were as captain-coach .","He","He","PRP","nsubj -> spent"
"230","0/1","Rohrabacher left <a>XXXX</a> in 1988 to pursue the open House seat recently vacated by Dan Lungren .","the Reagan administration","administration","NN","dobj -> left"
"231","0/1","<a>XXXX</a> claimed in his autobiography Mataf -LRB- ditions Pygmalion , 1991 -RRB- , that theirs was the first Franco-Japanese marriage after WWII -- conceivably true , but almost impossible to verify .","Lesaffre","Lesaffre","NNP","nsubj -> claimed"
"232","0/1","He earned <a>XXXX</a> from the University of Iowa College of Law in 1897 , and practiced law in Britt , Iowa .","a law degree","degree","NN","dobj -> earned"
"233","0/1","Although respected as an MP , Lee 's genial and quiet manner proved highly unsuited for leadership and <a>XXXX</a> eventually resigned on 17 September 1902 in favour of Carruthers .","he","he","PRP","nsubj -> resigned"
"234","0/1","He won his first major tournament in Hungary in 1927 by beating <a>XXXX</a> .","his friend Victor Barna","Barna","NNP","dobj -> beating"
"235","0/1","While working with defensive coaches Larry Lacewell and Rex Norris , Kelly remained on the second unit during the 1990 season , picking up 21 tackles <a>XXXX</a> and a team-leading 5 sacks .","-LRB- 14 solo -RRB-","solo","NN","appos -> tackles"
"236","0/1","One of Tell 's many performances was <a>XXXX</a> Left festival in Pomona , California on October 14 , 2006 .","the Bamboozle","Bamboozle","NNP","nsubj -> Left"
"237","0/1","He was bought by Southampton for # 250,000 in 1989 , where he enjoyed <a>XXXX</a> .","five years of top-flight football","years","NNS","dobj -> enjoyed"
"238","0/1","Yaya Diallo , West Africa <a>XXXX</a> 43 Just Plain Folks 2004 Music Award .","-LRB- Mali -RRB-","Mali","NNP","appos -> Africa"
"239","0/1","<a>XXXX</a> was Paul Verhoeven 's Starship Troopers in 1997 .","Her first starring role in a wide theatrical release","role","NN","nsubj -> Troopers"
"240","0/1","On October 12 , 1950 , Nunn married <a>XXXX</a> .","Beula Cornelius Aspley , a divorcee from Bond , Kentucky","Aspley","NNP","dobj -> married"
"241","0/1","<a>XXXX</a> held his seat at the 1931 general election in a straight fight with Moffat-Pender for the Conservatives .","He","He","PRP","nsubj -> held"
"242","0/1","Apart from finishing one place outside of promotion in 1984 , Walker achieved little of note during his first spell as manager , and was sacked later that year after the club 's new owners decided to replace <a>XXXX</a> with the higher-profile Ron Harris .","him","him","PRP","dobj -> replace"
"244","0/1","Minton 's mother developed <a>XXXX</a> in 1899 .","breast cancer","cancer","NN","dobj -> developed"
"246","0/1","In January 2006 <a>XXXX</a> starred in the short-lived drama series Eleventh Hour on ITV , alongside Patrick Stewart .","she","she","PRP","nsubj -> starred"
"247","0/1","On 25 June 1987 , the Sockers selected <a>XXXX</a> in the first round -LRB- seventh overall -RRB- of the Major Indoor Soccer League draft .","Wilhelms","Wilhelms","NNP","dobj -> selected"
"248","0/1","Nevin Saroya <a>XXXX</a> is a retired Thai - English semi-professional footballer .","-LRB- 15 September 1980 in Hillingdon -RRB-","September","NNP","appos -> Saroya"
"249","0/1","<a>XXXX</a> was the 1991 Reith Lecturer on BBC Radio , with a series entitled bbc .","Jones","Jones","NNP","nsubj -> Lecturer"
"250","0/1","On 1 November 2012 <a>XXXX</a> was given a permanent two-and-a-half-year deal by the Accrington board .","he","he","PRP","nsubjpass -> given"
"251","0/1","after one season with Lido , <a>XXXX</a> went to Maesteg Park A. F. C. in 2005 and spent only one season play 32 games and scoring 2 goals .","he","he","PRP","nsubj -> went"
"252","0/1","In 1917 , Fultz , emboldened by his efforts in the Kraft cash presented a list of demands to the National Commission to improve <a>XXXX</a> .","the playing conditions in the minor leagues","conditions","NNS","dobj -> improve"
"253","0/1","Fabrizio Paterlini -LRB- born 22 February 1973 in Mantua , <a>XXXX</a> is an Italian contemporary music composer and pianist .","Lombardy -RRB-","Lombardy","NNP","nsubj -> composer"
"254","0/1","He gained <a>XXXX</a> in 1929 , but could not afford entrance to university and instead sat the civil service Entrance Exam .","the Senior Oxford Certificate","Certificate","NNP","dobj -> gained"
"255","0/1","<a>XXXX</a> was first elected to Parliament under the Social Credit banner in the district of Bellechasse in the 1962 federal election , but was defeated by Liberal candidate Herman Laverdire the next year .","He","He","PRP","nsubjpass -> elected"
"256","0/1","<a>XXXX</a> was drafted by the Houston Oilers in 1989 , but did not play .","He","He","PRP","nsubjpass -> drafted"
"257","0/1","<a>XXXX</a> earned a bachelor 's degree in speech communication from TCU in 2000 .","She","She","PRP","nsubj -> earned"
"259","0/1","His Geschichie der Erde , eine Geologic auf neuer Grundlage <a>XXXX</a> , was also widely circulated .","-LRB- 1866 -RRB-","1866","NNP","appos -> Grundlage"
"260","0/1","Since 1989 <a>XXXX</a> is a member of the International Federation for Information Processing IFIP WG 8 .","he","he","PRP","nsubj -> member"
"261","0/1","thumb | left | The Round House prison in the late 19th century showing the tunnel built by the prisoners = = = Whaling = = = In 1837 , Scott made substantial investment in the Fremantle Whaling Company , which established <a>XXXX</a> at the entrance to Fremantle Harbour .","a whaling station at Bathers Beach","station","NN","dobj -> established"
"262","0/1","In the fall of 2001 Maureen was the newest addition to the Cassie Johnson Rink where she played <a>XXXX</a> .","lead","lead","NN","dobj -> played"
